"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
37,",377,52145,636,18.46828,17.52489,17.18874,16.93508,16.84472,19.52897,18.95497,-18.4514,-19.36275,-19.76983,-20.04709,-20.09989,-17.53389,-18.10789,0.94339,1.5332,0.33615,0.58981,0.25366,0.09036,0.574,1.06069,0.48669,2.00408,1.43008,2.34023,1.76623,2.59389,2.01989,2.68425,2.11025,0.05855"
38,",380,51792,98,18.46325,17.69893,17.46859,17.19522,17.15087,19.4565,19.1424,-18.31118,-19.0409,-19.34213,-19.63137,-19.63982,-17.45007,-17.76416,0.76432,1.26803,0.23034,0.50371,0.27337,0.04435,0.3141,0.99325,0.67915,1.75757,1.44347,1.98791,1.67381,2.26128,1.94718,2.30563,1.99153,0.05464"
39,",383,51818,79,20.16061,18.29727,17.41012,17.02544,16.73958,24.93011,23.67164,-17.15674,-18.99548,-19.95569,-20.38176,-20.63284,-12.56858,-13.82706,1.86334,3.13517,0.88715,1.27183,0.38468,0.28586,1.25847,4.7695,3.51103,6.63284,5.37437,7.51999,6.26152,7.90467,6.6462,8.19053,6.93206,0.07093"
40,",384,51821,508,19.88706,18.08189,17.25381,16.86624,16.57227,24.73329,22.97695,-17.2354,-19.01118,-19.92287,-20.34797,-20.61169,-12.57836,-14.3347,1.80517,3.02082,0.82808,1.21565,0.38757,0.29397,1.75634,4.84623,3.08989,6.6514,4.89506,7.47948,5.72314,7.86705,6.11071,8.16102,6.40468,0.06534"
41,",384,51821,546,19.96184,18.34556,17.53465,17.08474,16.78475,22.01428,21.29046,-17.19499,-18.7828,-19.67445,-20.16255,-20.43049,-15.32791,-16.05172,1.61628,2.8771,0.81091,1.26082,0.44991,0.29999,0.72382,2.05244,1.32862,3.66872,2.9449,4.47963,3.75581,4.92954,4.20572,5.22953,4.50571,0.06622"
42,",385,51877,249,20.04143,18.16159,17.29127,16.91757,16.59803,24.01717,22.32129,-17.38421,-19.24247,-20.17764,-20.58757,-20.87518,-13.58055,-15.27643,1.87984,3.12386,0.87032,1.24402,0.3737,0.31954,1.69588,3.97574,2.27986,5.85558,4.1597,6.7259,5.03002,7.0996,5.40372,7.41914,5.72326,0.07407"
43,",385,51877,539,19.6589,18.09046,17.29304,16.89457,16.60034,22.11688,21.89627,-17.29564,-18.83078,-19.72056,-20.15727,-20.42131,-15.0337,-15.25431,1.56844,2.76433,0.79742,1.19589,0.39847,0.29423,0.22061,2.45798,2.23737,4.02642,3.80581,4.82384,4.60323,5.22231,5.0017,5.51654,5.29593,0.06086"
44,",389,51795,377,19.75979,18.18599,17.44139,17.0856,16.86507,22.54906,21.89347,-17.3599,-18.90457,-19.72938,-20.11535,-20.30959,-14.75164,-15.40723,1.5738,2.67419,0.7446,1.10039,0.35579,0.22053,0.65559,2.78927,2.13368,4.36307,3.70748,5.10767,4.45208,5.46346,4.80787,5.68399,5.0284,0.06502"
45,",389,51795,456,19.25499,18.03328,17.37964,16.95721,16.72365,21.09989,20.79998,-17.83329,-19.02547,-19.75715,-20.20009,-20.41349,-16.16172,-16.46164,1.22171,2.29778,0.65364,1.07607,0.42243,0.23356,0.29991,1.8449,1.54499,3.06661,2.7667,3.72025,3.42034,4.14268,3.84277,4.37624,4.07633,0.06392"
46,",389,51795,457,18.65199,17.58969,17.10439,16.79489,16.66933,19.82543,19.34762,-18.42568,-19.45889,-20.01513,-20.33309,-20.44324,-17.40809,-17.8859,1.0623,1.8571,0.4853,0.7948,0.3095,0.12556,0.47781,1.17344,0.69563,2.23574,1.75793,2.72104,2.24323,3.03054,2.55273,3.1561,2.67829,0.06313"
47,",389,51795,459,19.90929,18.27051,17.42973,17.00914,16.73827,22.69061,21.9021,-17.13737,-18.74485,-19.67451,-20.13011,-20.37479,-14.55129,-15.3398,1.63878,2.90015,0.84078,1.26137,0.42059,0.27087,0.78851,2.78132,1.99281,4.4201,3.63159,5.26088,4.47237,5.68147,4.89296,5.95234,5.16383,0.06336"
48,",390,51900,145,19.07072,17.82679,17.15723,16.76938,16.52668,20.39365,19.80867,-18.01287,-19.22709,-19.97567,-20.38723,-20.60729,-16.86518,-17.45016,1.24393,2.30134,0.66956,1.05741,0.38785,0.2427,0.58498,1.32293,0.73795,2.56686,1.98188,3.23642,2.65144,3.62427,3.03929,3.86697,3.28199,0.06384"
49,",390,51900,255,19.75386,17.94975,17.10371,16.72369,16.41905,23.24601,23.11476,-17.29047,-19.0632,-19.9985,-20.41824,-20.69224,-13.99426,-14.12552,1.80411,3.03017,0.84604,1.22606,0.38002,0.30464,0.13125,3.49215,3.3609,5.29626,5.16501,6.1423,6.01105,6.52232,6.39107,6.82696,6.69571,0.06332"
50,",390,51900,572,19.57638,17.93135,17.20065,16.84965,16.58679,22.60429,21.58349,-17.81489,-19.43786,-20.23117,-20.60534,-20.84538,-14.95071,-15.9715,1.64503,2.72673,0.7307,1.0817,0.351,0.26286,1.0208,3.02791,2.00711,4.67294,3.65214,5.40364,4.38284,5.75464,4.73384,6.0175,4.9967,0.0727"
51,",391,51782,14,18.89961,17.93771,17.37091,16.98839,16.81427,20.59671,19.87213,-18.04352,-18.97287,-19.62134,-20.01761,-20.1753,-16.51658,-17.24116,0.9619,1.91122,0.5668,0.94932,0.38252,0.17412,0.72458,1.6971,0.97252,2.659,1.93442,3.2258,2.50122,3.60832,2.88374,3.78244,3.05786,0.05987"
52,",393,51794,6,18.8377,17.79585,17.25107,16.89713,16.71194,20.13046,19.94367,-18.42253,-19.43954,-20.04807,-20.41164,-20.58204,-17.2844,-17.47119,1.04185,1.94057,0.54478,0.89872,0.35394,0.18519,0.18679,1.29276,1.10597,2.33461,2.14782,2.87939,2.6926,3.23333,3.04654,3.41852,3.23173,0.06837"
53,",393,51794,86,19.27881,18.16489,17.56815,17.15892,16.97566,20.78844,19.96859,-17.94011,-19.02794,-19.69287,-20.11518,-20.28243,-16.59185,-17.4117,1.11392,2.11989,0.59674,1.00597,0.40923,0.18326,0.81985,1.50963,0.68978,2.62355,1.8037,3.22029,2.40044,3.62952,2.80967,3.81278,2.99293,0.06734"
54,",397,51794,623,19.43973,18.10684,17.42133,17.01105,16.76638,22.07673,20.95925,-17.47607,-18.77526,-19.54981,-19.99171,-20.20794,-15.02432,-16.1418,1.33289,2.42868,0.68551,1.09579,0.41028,0.24467,1.11748,2.637,1.51952,3.96989,2.85241,4.6554,3.53792,5.06568,3.9482,5.31035,4.19287,0.05955"
55,",399,51817,58,18.75246,17.7669,17.2954,16.96492,16.83373,20.36088,19.77751,-18.0917,-19.04296,-19.59593,-19.93676,-20.05054,-16.64537,-17.22874,0.98556,1.78754,0.4715,0.80198,0.33048,0.13119,0.58337,1.60842,1.02505,2.59398,2.01061,3.06548,2.48211,3.39596,2.81259,3.52715,2.94378,0.05711"
56,",401,51788,141,19.34655,17.88018,17.22197,16.95463,16.74046,24.03628,22.06057,-18.0792,-19.5247,-20.24084,-20.5277,-20.72001,-13.54551,-15.52123,1.46637,2.39192,0.65821,0.92555,0.26734,0.21417,1.97571,4.68973,2.71402,6.1561,4.18039,6.81431,4.8386,7.08165,5.10594,7.29582,5.32011,0.07355"
