"X","X..plate...mjd...fiberID...mag_ab_u...mag_ab_g...mag_ab_r...mag_ab_i...mag_ab_z...mag_ab_fuv...mag_ab_nuv...M_absolut_u...M_absolut_g...M_absolut_r...M_absolut_i...M_absolut_z...M_absolut_fuv...M_absolut_nuv...u.g...u.i...g.r...g.i...r.i...i.z...FUV.NUV...FUV.u...NUV.u...FUV.g...NUV.g...FUV.r...NUV.r...FUV.i...NUV.i...FUV.z...NUV.z...redshift."
729,",2028,53818,471,19.00308,18.01663,17.61652,17.32815,17.21613,20.08092,19.95061,-17.61026,-18.55804,-19.04534,-19.32744,-19.43497,-16.69131,-16.82162,0.98645,1.67493,0.40011,0.68848,0.28837,0.11202,0.13031,1.07784,0.94753,2.06429,1.93398,2.4644,2.33409,2.75277,2.62246,2.86479,2.73448,0.05149"
730,",2029,53819,487,18.04964,17.26407,16.99092,16.69355,16.65536,19.02536,18.56071,-18.98793,-19.74437,-20.0802,-20.36283,-20.39907,-18.14544,-18.61009,0.78557,1.35609,0.27315,0.57052,0.29737,0.03819,0.46465,0.97572,0.51107,1.76129,1.29664,2.03444,1.56979,2.33181,1.86716,2.37,1.90535,0.06141"
731,",2030,53499,187,18.59327,17.52125,17.09366,16.82888,16.7141,20.96239,20.04994,-18.81771,-19.86926,-20.34778,-20.60951,-20.71751,-16.58703,-17.49948,1.07202,1.76439,0.42759,0.69237,0.26478,0.11478,0.91245,2.36912,1.45667,3.44114,2.52869,3.86873,2.95628,4.13351,3.22106,4.24829,3.33584,0.07252"
732,",2030,53499,450,18.63156,17.74361,17.42592,17.15102,17.12137,19.79892,19.28991,-18.35122,-19.20861,-19.59357,-19.85786,-19.88338,-17.32341,-17.83243,0.88795,1.48054,0.31769,0.59259,0.2749,0.02965,0.50901,1.16736,0.65835,2.05531,1.5463,2.373,1.86399,2.6479,2.13889,2.67755,2.16854,0.06011"
733,",2031,53848,291,19.75809,18.33145,17.58995,17.19001,16.96738,22.01856,21.56625,-17.34064,-18.73765,-19.56048,-19.98187,-20.18703,-15.26205,-15.71436,1.42664,2.56808,0.7415,1.14144,0.39994,0.22263,0.45231,2.26047,1.80816,3.68711,3.2348,4.42861,3.9763,4.82855,4.37624,5.05118,4.59887,0.06445"
734,",2032,53815,40,18.57565,17.75222,17.47417,17.21073,17.11935,19.41064,19.10166,-18.22364,-19.01275,-19.36347,-19.61189,-19.70098,-17.5268,-17.83578,0.82343,1.36492,0.27805,0.54149,0.26344,0.09138,0.30898,0.83499,0.52601,1.65842,1.34944,1.93647,1.62749,2.19991,1.89093,2.29129,1.98231,0.0554"
735,",2036,53446,285,19.64634,18.20091,17.4743,17.11243,16.85294,21.79247,21.30209,-17.36071,-18.77438,-19.58697,-19.97629,-20.2126,-15.39989,-15.89026,1.44543,2.53391,0.72661,1.08848,0.36187,0.25949,0.49038,2.14613,1.65575,3.59156,3.10118,4.31817,3.82779,4.68004,4.18966,4.93953,4.44915,0.062"
736,",2036,53446,306,19.11977,18.1256,17.63292,17.28693,17.19173,20.7439,20.34607,-17.96117,-18.9263,-19.49009,-19.84201,-19.92465,-16.49358,-16.89141,0.99417,1.83284,0.49268,0.83867,0.34599,0.0952,0.39783,1.62413,1.2263,2.6183,2.22047,3.11098,2.71315,3.45697,3.05914,3.55217,3.15434,0.06324"
737,",2080,53350,271,18.72277,17.6088,17.07578,16.68754,16.51554,20.03042,19.59277,-18.08982,-19.16852,-19.78781,-20.20037,-20.34425,-16.95312,-17.39077,1.11397,2.03523,0.53302,0.92126,0.38824,0.172,0.43765,1.30765,0.87,2.42162,1.98397,2.95464,2.51699,3.34288,2.90523,3.51488,3.07723,0.05654"
738,",2085,53379,586,18.25502,17.42284,17.13901,16.82604,16.78668,19.64426,18.85141,-18.73045,-19.53228,-19.88155,-20.19291,-20.21751,-17.47668,-18.26954,0.83218,1.42898,0.28383,0.5968,0.31297,0.03936,0.79285,1.38924,0.59639,2.22142,1.42857,2.50525,1.7124,2.81822,2.02537,2.85758,2.06473,0.06007"
739,",2088,53493,22,18.931,18.03616,17.64192,17.33031,17.19672,20.4157,19.85026,-18.44036,-19.31379,-19.75992,-20.06593,-20.19416,-17.09265,-17.65809,0.89484,1.60069,0.39424,0.70585,0.31161,0.13359,0.56544,1.4847,0.91926,2.37954,1.8141,2.77378,2.20834,3.08539,2.51995,3.21898,2.65354,0.07123"
740,",2089,53498,445,19.83437,18.28521,17.50035,17.10676,16.86132,22.06326,21.79133,-17.62483,-19.15362,-19.99826,-20.41118,-20.63849,-15.55937,-15.8313,1.54916,2.72761,0.78486,1.17845,0.39359,0.24544,0.27193,2.22889,1.95696,3.77805,3.50612,4.56291,4.29098,4.9565,4.68457,5.20194,4.93001,0.07488"
741,",2089,53498,593,19.55456,18.27113,17.55871,17.18307,16.93592,21.47865,21.55135,-17.10868,-18.35283,-19.16875,-19.5674,-19.79819,-15.38505,-15.31235,1.28343,2.37149,0.71242,1.08806,0.37564,0.24715,-0.0727,1.92409,1.99679,3.20752,3.28022,3.91994,3.99264,4.29558,4.36828,4.54273,4.61543,0.05362"
742,",2097,53491,255,18.76019,17.84083,17.43012,17.1191,16.99865,20.08548,19.46455,-17.87936,-18.7605,-19.258,-19.56964,-19.67932,-16.71382,-17.33475,0.91936,1.64109,0.41071,0.72173,0.31102,0.12045,0.62093,1.32529,0.70436,2.24465,1.62372,2.65536,2.03443,2.96638,2.34545,3.08683,2.4659,0.05211"
743,",2097,53491,271,19.23492,18.18014,17.63094,17.27465,17.11407,20.73791,20.34287,-18.09094,-19.12256,-19.73193,-20.09766,-20.24347,-16.74009,-17.13513,1.05478,1.96027,0.5492,0.90549,0.35629,0.16058,0.39504,1.50299,1.10795,2.55777,2.16273,3.10697,2.71193,3.46326,3.06822,3.62384,3.2288,0.07029"
744,",2097,53491,448,19.61661,18.24008,17.60817,17.25076,17.00841,21.70485,20.52623,-17.42074,-18.76661,-19.47839,-19.85311,-20.07793,-15.50594,-16.68457,1.37653,2.36585,0.63191,0.98932,0.35741,0.24235,1.17862,2.08824,0.90962,3.46477,2.28615,4.09668,2.91806,4.45409,3.27547,4.69644,3.51782,0.0625"
745,",2097,53491,606,18.81463,17.83628,17.407,17.09996,16.9243,20.51171,19.71169,-17.92005,-18.862,-19.37522,-19.68563,-19.84876,-16.38278,-17.18281,0.97835,1.71467,0.42928,0.73632,0.30704,0.17566,0.80002,1.69708,0.89706,2.67543,1.87541,3.10471,2.30469,3.41175,2.61173,3.58741,2.78739,0.05435"
746,",2099,53469,425,19.53501,18.15064,17.44292,17.05743,16.82642,21.40237,21.41093,-17.53899,-18.89327,-19.68227,-20.08998,-20.30156,-15.85137,-15.8428,1.38437,2.47758,0.70772,1.09321,0.38549,0.23101,-0.00856,1.86736,1.87592,3.25173,3.26029,3.95945,3.96801,4.34494,4.3535,4.57595,4.58451,0.06369"
747,",2101,53858,55,20.07486,18.3709,17.55079,17.1456,16.86997,22.89698,22.1761,-16.94367,-18.61574,-19.5255,-19.95679,-20.21461,-14.31633,-15.03721,1.70396,2.92926,0.82011,1.2253,0.40519,0.27563,0.72088,2.82212,2.10124,4.52608,3.8052,5.34619,4.62531,5.75138,5.0305,6.02701,5.30613,0.06257"
748,",2102,54115,189,19.95053,18.11031,17.27053,16.91424,16.60626,24.00523,23.16604,-16.71925,-18.51969,-19.46988,-19.85826,-20.14761,-12.88159,-13.72078,1.84022,3.03629,0.83978,1.19607,0.35629,0.30798,0.83919,4.0547,3.21551,5.89492,5.05573,6.7347,5.89551,7.09099,6.2518,7.39897,6.55978,0.05417"
749,",2102,54115,371,19.74186,18.25985,17.57386,17.209,16.98283,21.8116,21.2196,-17.08596,-18.53231,-19.31201,-19.69418,-19.90697,-15.20571,-15.7977,1.48201,2.53286,0.68599,1.05085,0.36486,0.22617,0.592,2.06974,1.47774,3.55175,2.95975,4.23774,3.64574,4.6026,4.0106,4.82877,4.23677,0.05739"
750,",2104,53852,384,19.54859,17.96293,17.20594,16.84266,16.58221,21.26339,20.65479,-17.47452,-19.02866,-19.87212,-20.25368,-20.50131,-15.94744,-16.55605,1.58566,2.70593,0.75699,1.12027,0.36328,0.26045,0.6086,1.7148,1.1062,3.30046,2.69186,4.05745,3.44885,4.42073,3.81213,4.68118,4.07258,0.0625"
751,",2106,53714,174,18.93137,17.80689,17.27852,16.98165,16.79532,20.32618,19.72116,-17.98215,-19.07358,-19.68315,-19.9946,-20.16194,-16.75407,-17.35909,1.12448,1.94972,0.52837,0.82524,0.29687,0.18633,0.60502,1.39481,0.78979,2.51929,1.91427,3.04766,2.44264,3.34453,2.73951,3.53086,2.92584,0.059"
752,",2109,53468,522,19.58355,18.25242,17.61513,17.2384,17.03944,21.90734,20.84747,-17.36376,-18.66212,-19.38438,-19.77467,-19.96072,-15.21815,-16.27802,1.33113,2.34515,0.63729,1.01402,0.37673,0.19896,1.05987,2.32379,1.26392,3.65492,2.59505,4.29221,3.23234,4.66894,3.60907,4.8679,3.80803,0.06019"
753,",2109,53468,562,18.79317,17.88489,17.47473,17.06683,17.00429,19.75161,19.46958,-18.16557,-19.04234,-19.52553,-19.92933,-19.9857,-17.35826,-17.6403,0.90828,1.72634,0.41016,0.81806,0.4079,0.06254,0.28203,0.95844,0.67641,1.86672,1.58469,2.27688,1.99485,2.68478,2.40275,2.74732,2.46529,0.05978"
754,",2111,53467,602,18.61276,17.8657,17.56661,17.28764,17.21891,20.08666,19.39218,-18.44935,-19.16773,-19.5297,-19.80222,-19.86201,-17.11115,-17.80563,0.74706,1.32512,0.29909,0.57806,0.27897,0.06873,0.69448,1.4739,0.77942,2.22096,1.52648,2.52005,1.82557,2.79902,2.10454,2.86775,2.17327,0.06214"
755,",2112,53534,293,18.16385,17.36854,17.11219,16.823,16.68869,19.23568,18.8444,-18.49057,-19.24876,-19.58194,-19.85247,-19.98638,-17.55623,-17.9475,0.79531,1.34085,0.25635,0.54554,0.28919,0.13431,0.39128,1.07183,0.68055,1.86714,1.47586,2.12349,1.73221,2.41268,2.0214,2.54699,2.15571,0.05194"
756,",2115,53535,206,18.96211,17.94398,17.63498,17.36661,17.24087,19.77656,19.67775,-17.7593,-18.74136,-19.12785,-19.3857,-19.50612,-17.0886,-17.18741,1.01813,1.5955,0.309,0.57737,0.26837,0.12574,0.09881,0.81445,0.71564,1.83258,1.73377,2.14158,2.04277,2.40995,2.31114,2.53569,2.43688,0.05365"
757,",2115,53535,385,18.93303,17.96949,17.41432,17.12256,16.96625,20.38466,19.50581,-17.65621,-18.57979,-19.23261,-19.53309,-19.67895,-16.38628,-17.26513,0.96354,1.81047,0.55517,0.84693,0.29176,0.15631,0.87885,1.45163,0.57278,2.41517,1.53632,2.97034,2.09149,3.2621,2.38325,3.41841,2.53956,0.05146"
758,",2116,53854,336,19.34307,18.04614,17.33193,16.92113,16.66233,21.06424,20.94917,-17.42801,-18.68792,-19.50028,-19.93728,-20.17572,-15.90252,-16.01758,1.29693,2.42194,0.71421,1.12501,0.4108,0.2588,0.11507,1.72117,1.6061,3.0181,2.90303,3.73231,3.61724,4.14311,4.02804,4.40191,4.28684,0.05612"
759,",2118,53820,387,19.38808,17.97485,17.31256,16.90959,16.66355,20.91173,20.38552,-17.61007,-18.9916,-19.73733,-20.15642,-20.38778,-16.26506,-16.79127,1.41323,2.47849,0.66229,1.06526,0.40297,0.24604,0.52621,1.52365,0.99744,2.93688,2.41067,3.59917,3.07296,4.00214,3.47593,4.24818,3.72197,0.06157"
760,",2118,53820,618,19.33426,18.0957,17.52224,17.15559,16.98345,21.01536,19.9459,-17.70079,-18.90889,-19.5596,-19.93624,-20.09556,-16.18683,-17.25629,1.23856,2.17867,0.57346,0.94011,0.36665,0.17214,1.06946,1.6811,0.61164,2.91966,1.8502,3.49312,2.42366,3.85977,2.79031,4.03191,2.96245,0.06226"
761,",2121,54180,600,19.579,18.24547,17.59296,17.50391,16.93029,19.81162,19.06247,-17.45583,-18.75856,-19.49203,-19.59622,-20.15542,-17.39901,-18.14817,1.33353,2.07509,0.65251,0.74156,0.08905,0.57362,0.74915,0.23262,-0.51653,1.56615,0.817,2.21866,1.46951,2.30771,1.55856,2.88133,2.13218,0.0625"
762,",2122,54178,38,18.91576,18.00914,17.53284,17.15341,17.02749,20.53765,20.06056,-18.43099,-19.31525,-19.84782,-20.22988,-20.34515,-16.95402,-17.43111,0.90662,1.76235,0.4763,0.85573,0.37943,0.12592,0.47709,1.62189,1.1448,2.52851,2.05142,3.00481,2.52772,3.38424,2.90715,3.51016,3.03307,0.07071"
763,",2122,54178,297,19.56351,18.06808,17.32411,16.96381,16.71688,22.75982,21.78301,-17.40522,-18.86791,-19.70087,-20.0836,-20.31354,-14.39817,-15.37498,1.49543,2.5997,0.74397,1.10427,0.3603,0.24693,0.97681,3.19631,2.2195,4.69174,3.71493,5.43571,4.4589,5.79601,4.8192,6.04294,5.06613,0.06106"
764,",2122,54178,562,19.30793,18.02559,17.38931,17.03932,16.81743,20.58517,20.30912,-17.46126,-18.70691,-19.43719,-19.80182,-20.01087,-16.36985,-16.64589,1.28234,2.26861,0.63628,0.98627,0.34999,0.22189,0.27605,1.27724,1.00119,2.55958,2.28353,3.19586,2.91981,3.54585,3.2698,3.76774,3.49169,0.05583"
765,",2123,53793,63,19.30124,18.13822,17.56179,17.19102,16.99821,21.13467,20.69396,-17.93173,-19.06909,-19.71208,-20.09344,-20.27186,-16.2571,-16.69781,1.16302,2.11022,0.57643,0.9472,0.37077,0.19281,0.44071,1.83343,1.39272,2.99645,2.55574,3.57288,3.13217,3.94365,3.50294,4.13646,3.69575,0.06768"
766,",2123,53793,198,19.37644,18.11155,17.48993,17.12611,16.85807,20.49534,20.5695,-17.53843,-18.76988,-19.47738,-19.85843,-20.10936,-16.59731,-16.52315,1.26489,2.25033,0.62162,0.98544,0.36382,0.26804,-0.07416,1.1189,1.19306,2.38379,2.45795,3.00541,3.07957,3.36923,3.44339,3.63727,3.71143,0.05933"
767,",2123,53793,509,18.2314,17.39608,17.05067,16.71232,16.64494,19.37732,18.83362,-19.23113,-20.04765,-20.43835,-20.77155,-20.83157,-18.21542,-18.75912,0.83532,1.51908,0.34541,0.68376,0.33835,0.06738,0.5437,1.14592,0.60222,1.98124,1.43754,2.32665,1.78295,2.665,2.1213,2.73238,2.18868,0.07391"
768,",2126,53794,223,19.09915,18.02645,17.61847,17.34252,17.23164,19.86356,19.72628,-18.08573,-19.13223,-19.60229,-19.87689,-19.97869,-17.46548,-17.60276,1.0727,1.75663,0.40798,0.68393,0.27595,0.11088,0.13728,0.76441,0.62713,1.83711,1.69983,2.24509,2.10781,2.52104,2.38376,2.63192,2.49464,0.06584"
769,",2127,53859,63,18.45925,17.39287,16.97777,16.68889,16.50702,20.3442,19.42302,-18.34644,-19.37797,-19.87317,-20.16081,-20.33395,-16.6175,-17.53867,1.06638,1.77036,0.4151,0.70398,0.28888,0.18187,0.92118,1.88495,0.96377,2.95133,2.03015,3.36643,2.44525,3.65531,2.73413,3.83718,2.916,0.05599"
770,",2127,53859,121,19.83967,17.94563,17.06495,16.66665,16.3537,24.22924,23.13362,-17.25138,-19.11504,-20.08358,-20.51535,-20.80471,-13.0583,-14.15392,1.89404,3.17302,0.88068,1.27898,0.3983,0.31295,1.09562,4.38957,3.29395,6.28361,5.18799,7.16429,6.06867,7.56259,6.46697,7.87554,6.77992,0.06465"
771,",2127,53859,177,18.86106,17.8342,17.47351,17.20557,17.10948,19.83597,19.32999,-18.53281,-19.53897,-19.94914,-20.21404,-20.30105,-17.69135,-18.19733,1.02686,1.65549,0.36069,0.62863,0.26794,0.09609,0.50598,0.97491,0.46893,2.00177,1.49579,2.36246,1.85648,2.6304,2.12442,2.72649,2.22051,0.07182"
772,",2128,53800,332,19.30184,18.01792,17.4654,17.11527,16.88645,21.00711,20.67004,-17.34017,-18.58519,-19.23288,-19.5974,-19.80974,-15.81442,-16.15149,1.28392,2.18657,0.55252,0.90265,0.35013,0.22882,0.33707,1.70527,1.3682,2.98919,2.65212,3.54171,3.20464,3.89184,3.55477,4.12066,3.78359,0.05262"
773,",2128,53800,400,19.09748,18.07299,17.64365,17.32792,17.20499,19.75395,19.86376,-18.25158,-19.25394,-19.73767,-20.05569,-20.16663,-17.73588,-17.62607,1.02449,1.76956,0.42934,0.74507,0.31573,0.12293,-0.10981,0.65647,0.76628,1.68096,1.79077,2.1103,2.22011,2.42603,2.53584,2.54896,2.65877,0.07065"
774,",2130,53881,205,19.00323,17.88765,17.37301,17.02818,16.88122,19.87326,19.58743,-18.43602,-19.53159,-20.09853,-20.44797,-20.58329,-17.71025,-17.99608,1.11558,1.97505,0.51464,0.85947,0.34483,0.14696,0.28583,0.87003,0.5842,1.98561,1.69978,2.50025,2.21442,2.84508,2.55925,2.99204,2.70621,0.07361"
775,",2130,53881,555,18.89393,17.78195,17.33068,16.9964,16.81006,19.99317,19.46439,-17.86852,-18.94457,-19.47985,-19.81422,-19.99247,-16.93125,-17.46003,1.11198,1.89753,0.45127,0.78555,0.33428,0.18634,0.52878,1.09924,0.57046,2.21122,1.68244,2.66249,2.13371,2.99677,2.46799,3.18311,2.65433,0.05508"
776,",2133,53917,543,19.53748,18.0341,17.39115,17.08,16.86639,21.88767,21.18529,-17.15063,-18.61559,-19.35685,-19.68693,-19.88429,-14.99052,-15.6929,1.50338,2.45748,0.64295,0.9541,0.31115,0.21361,0.70238,2.35019,1.64781,3.85357,3.15119,4.49652,3.79414,4.80767,4.10529,5.02128,4.3189,0.05396"
777,",2134,53876,400,19.08231,18.00875,17.55275,17.3009,17.15226,20.23303,19.85398,-17.59278,-18.6286,-19.17263,-19.42841,-19.56551,-16.60718,-16.98624,1.07356,1.78141,0.456,0.70785,0.25185,0.14864,0.37905,1.15072,0.77167,2.22428,1.84523,2.68028,2.30123,2.93213,2.55308,3.08077,2.70172,0.05306"
778,",2134,53876,511,19.28253,17.94115,17.42238,17.1481,17.00097,20.64257,20.38036,-17.38694,-18.69014,-19.30088,-19.58473,-19.71821,-16.20084,-16.46305,1.34138,2.13443,0.51877,0.79305,0.27428,0.14713,0.26221,1.36004,1.09783,2.70142,2.43921,3.22019,2.95798,3.49447,3.23226,3.6416,3.37939,0.05314"
779,",2137,54206,53,18.91197,17.94418,17.48507,17.17004,17.00395,20.81842,20.16919,-17.70252,-18.63135,-19.1812,-19.50777,-19.65498,-15.96334,-16.61257,0.96779,1.74193,0.45911,0.77414,0.31503,0.16609,0.64923,1.90645,1.25722,2.87424,2.22501,3.33335,2.68412,3.64838,2.99915,3.81447,3.16524,0.0517"
780,",2138,53757,542,18.54544,17.47233,16.99102,16.65644,16.49694,20.03853,19.54236,-18.38244,-19.42303,-19.98244,-20.31843,-20.46976,-17.04993,-17.5461,1.07311,1.889,0.48131,0.81589,0.33458,0.1595,0.49617,1.49309,0.99692,2.5662,2.07003,3.04751,2.55134,3.38209,2.88592,3.54159,3.04542,0.05922"
781,",2138,53757,608,19.59683,18.2331,17.53375,17.17117,16.93381,21.42764,20.52742,-17.46033,-18.79359,-19.57481,-19.95482,-20.17734,-15.80925,-16.70946,1.36373,2.42566,0.69935,1.06193,0.36258,0.23736,0.90022,1.83081,0.93059,3.19454,2.29432,3.89389,2.99367,4.25647,3.35625,4.49383,3.59361,0.06322"
782,",2142,54208,108,19.14174,18.08408,17.63787,17.35517,17.18943,20.53695,19.98053,-17.44792,-18.46621,-19.00339,-19.29168,-19.44377,-16.21883,-16.77524,1.05766,1.78657,0.44621,0.72891,0.2827,0.16574,0.55642,1.39521,0.83879,2.45287,1.89645,2.89908,2.34266,3.18178,2.62536,3.34752,2.7911,0.05111"
783,",2142,54208,260,18.83959,17.86875,17.48076,17.21416,17.09323,20.1658,19.28918,-18.08222,-19.02083,-19.48237,-19.75369,-19.85854,-16.90549,-17.78211,0.97084,1.62543,0.38799,0.65459,0.2666,0.12093,0.87662,1.32621,0.44959,2.29705,1.42043,2.68504,1.80842,2.95164,2.07502,3.07257,2.19595,0.05877"
784,",2148,54526,339,19.08173,17.96378,17.40395,17.01465,16.84415,21.25004,20.35662,-17.9168,-19.0035,-19.64183,-20.05422,-20.19836,-15.91562,-16.80903,1.11795,2.06708,0.55983,0.94913,0.3893,0.1705,0.89342,2.16831,1.27489,3.28626,2.39284,3.84609,2.95267,4.23539,3.34197,4.40589,3.51247,0.06127"
785,",2149,54509,235,19.67007,18.29853,17.56735,17.13192,16.85092,22.33518,21.23562,-17.66089,-19.00875,-19.80648,-20.27457,-20.52396,-15.16321,-16.26278,1.37154,2.53815,0.73118,1.16661,0.43543,0.281,1.09956,2.66511,1.56555,4.03665,2.93709,4.76783,3.66827,5.20326,4.1037,5.48426,4.3847,0.07092"
786,",2149,54509,345,19.46963,18.23028,17.52891,17.10979,16.85035,22.6113,21.18943,-17.62152,-18.83122,-19.61259,-20.06835,-20.29351,-14.65801,-16.07988,1.23935,2.35984,0.70137,1.12049,0.41912,0.25944,1.42187,3.14167,1.7198,4.38102,2.95915,5.08239,3.66052,5.50151,4.07964,5.76095,4.33908,0.06413"
787,",2151,54523,479,18.86913,17.96608,17.59912,17.33061,17.2051,20.52918,19.97102,-18.04502,-18.91577,-19.35552,-19.62598,-19.73712,-16.53207,-17.09023,0.90305,1.53852,0.36696,0.63547,0.26851,0.12551,0.55816,1.66005,1.10189,2.5631,2.00494,2.93006,2.3719,3.19857,2.64041,3.32408,2.76592,0.05851"
788,",2155,53820,552,19.16814,17.93096,17.35127,17.03264,16.81277,21.22733,20.01542,-17.47501,-18.67317,-19.34959,-19.70045,-19.88752,-15.59905,-16.81096,1.23718,2.1355,0.57969,0.89832,0.31863,0.21987,1.21191,2.05919,0.84728,3.29637,2.08446,3.87606,2.66415,4.19469,2.98278,4.41456,3.20265,0.05274"
789,",2156,54525,387,18.75262,17.78044,17.26094,16.81789,16.71195,21.01992,20.11095,-18.71354,-19.66643,-20.23678,-20.70439,-20.77879,-16.58968,-17.49865,0.97218,1.93473,0.5195,0.96255,0.44305,0.10594,0.90897,2.2673,1.35833,3.23948,2.33051,3.75898,2.85001,4.20203,3.29306,4.30797,3.399,0.07445"
790,",2157,54242,334,19.33739,17.90858,17.17507,16.7847,16.54898,21.03923,20.06559,-17.50388,-18.89711,-19.7261,-20.15605,-20.35838,-15.99669,-16.97033,1.42881,2.55269,0.73351,1.12388,0.39037,0.23572,0.97364,1.70184,0.7282,3.13065,2.15701,3.86416,2.89052,4.25453,3.28089,4.49025,3.51661,0.05786"
791,",2158,54209,325,18.56443,17.63104,17.19674,16.78999,16.7013,20.48673,19.6281,-18.72404,-19.63372,-20.12585,-20.55237,-20.61184,-16.94506,-17.80369,0.93339,1.77444,0.4343,0.84105,0.40675,0.08869,0.85863,1.9223,1.06367,2.85569,1.99706,3.28999,2.43136,3.69674,2.83811,3.78543,2.9268,0.06888"
792,",2159,54328,94,18.99871,17.86059,17.38478,17.09746,16.91432,20.33668,19.93212,-17.93243,-19.03814,-19.5916,-19.92032,-20.05502,-16.75427,-17.15884,1.13812,1.90125,0.47581,0.76313,0.28732,0.18314,0.40456,1.33797,0.93341,2.47609,2.07153,2.9519,2.54734,3.23922,2.83466,3.42236,3.0178,0.05928"
793,",2161,53878,190,17.99294,17.34386,17.02787,16.67222,16.63245,19.13974,18.71663,-19.31201,-19.93824,-20.30654,-20.67736,-20.68802,-18.29711,-18.72022,0.64908,1.32072,0.31599,0.67164,0.35565,0.03977,0.42311,1.1468,0.72369,1.79588,1.37277,2.11187,1.68876,2.46752,2.04441,2.50729,2.08418,0.06903"
794,",2169,53556,364,18.73617,17.72835,17.19765,16.8062,16.66611,21.22771,20.07802,-18.48088,-19.46282,-20.0591,-20.48579,-20.58512,-16.14447,-17.29416,1.00782,1.92997,0.5307,0.92215,0.39145,0.14009,1.14969,2.49154,1.34185,3.49936,2.34967,4.03006,2.88037,4.42151,3.27182,4.5616,3.41191,0.0671"
795,",2172,54230,467,18.62128,17.63248,17.20047,16.90306,16.71753,19.98279,19.45679,-18.00866,-18.95894,-19.47942,-19.79261,-19.95343,-16.81016,-17.33616,0.9888,1.71822,0.43201,0.72942,0.29741,0.18553,0.526,1.36151,0.83551,2.35031,1.82431,2.78232,2.25632,3.07973,2.55373,3.26526,2.73926,0.05196"
796,",2196,53534,640,18.7637,17.89698,17.52254,17.19201,17.08453,20.40592,19.64971,-18.3406,-19.17931,-19.61826,-19.95988,-20.04438,-16.84139,-17.5976,0.86672,1.57169,0.37444,0.70497,0.33053,0.10748,0.75621,1.64222,0.88601,2.50894,1.75273,2.88338,2.12717,3.21391,2.4577,3.32139,2.56518,0.06351"
797,",2197,53555,294,18.53783,17.65468,17.2228,16.92263,16.79468,20.22819,19.4215,-18.42532,-19.27697,-19.78277,-20.0951,-20.20167,-16.88854,-17.69524,0.88315,1.6152,0.43188,0.73205,0.30017,0.12795,0.80669,1.69036,0.88367,2.57351,1.76682,3.00539,2.1987,3.30556,2.49887,3.43351,2.62682,0.05996"
798,",2202,53566,522,19.21726,18.03447,17.49907,17.21173,17.01975,21.31458,20.52704,-17.36472,-18.50752,-19.13968,-19.46029,-19.61615,-15.44653,-16.23407,1.18279,2.00553,0.5354,0.82274,0.28734,0.19198,0.78754,2.09732,1.30978,3.28011,2.49257,3.81551,3.02797,4.10285,3.31531,4.29483,3.50729,0.05123"
799,",2202,53566,575,19.04064,18.05088,17.55612,17.27093,17.04079,20.38048,19.75484,-17.53214,-18.48193,-19.07135,-19.38633,-19.58149,-16.36588,-16.99152,0.98976,1.76971,0.49476,0.77995,0.28519,0.23014,0.62564,1.33984,0.7142,2.3296,1.70396,2.82436,2.19872,3.10955,2.48391,3.33969,2.71405,0.0509"
800,",2208,53880,393,18.64174,17.6915,17.33863,17.03499,16.93205,20.45951,19.39974,-18.58519,-19.51048,-19.921,-20.23682,-20.31491,-16.90486,-17.96463,0.95024,1.60675,0.35287,0.65651,0.30364,0.10294,1.05977,1.81777,0.758,2.76801,1.70824,3.12088,2.06111,3.42452,2.36475,3.52746,2.46769,0.06687"
801,",2211,53786,390,20.11846,18.3113,17.45006,17.0804,16.75613,22.76481,22.98575,-17.17978,-18.96193,-19.8966,-20.29852,-20.59655,-14.71397,-14.49303,1.80716,3.03806,0.86124,1.2309,0.36966,0.32427,-0.22094,2.64635,2.86729,4.45351,4.67445,5.31475,5.53569,5.68441,5.90535,6.00868,6.22962,0.07031"
802,",2211,53786,470,19.79455,17.96622,17.13536,16.72973,16.45636,23.50149,22.48913,-17.58071,-19.3862,-20.28415,-20.72275,-20.96698,-14.04645,-15.0588,1.82833,3.06482,0.83086,1.23649,0.40563,0.27337,1.01236,3.70694,2.69458,5.53527,4.52291,6.36613,5.35377,6.77176,5.7594,7.04513,6.03277,0.07247"
803,",2213,53792,25,18.81274,17.92684,17.58482,17.26911,17.18077,19.92709,19.54017,-18.37215,-19.23211,-19.63334,-19.942,-20.02421,-17.39525,-17.78218,0.8859,1.54363,0.34202,0.65773,0.31571,0.08834,0.38692,1.11435,0.72743,2.00025,1.61333,2.34227,1.95535,2.65798,2.27106,2.74632,2.3594,0.06565"
804,",2213,53792,418,18.95151,17.85693,17.34205,16.98433,16.7792,21.22912,19.9701,-17.85223,-18.91144,-19.51201,-19.87991,-20.07014,-15.74356,-17.00258,1.09458,1.96718,0.51488,0.8726,0.35772,0.20513,1.25902,2.27761,1.01859,3.37219,2.11317,3.88707,2.62805,4.24479,2.98577,4.44992,3.1909,0.05627"
805,",2215,53793,19,19.06963,17.94854,17.42581,17.11004,16.94864,20.54283,19.99394,-17.86074,-18.94918,-19.552,-19.8764,-20.02442,-16.55297,-17.10186,1.12109,1.95959,0.52273,0.8385,0.31577,0.1614,0.54889,1.4732,0.92431,2.59429,2.0454,3.11702,2.56813,3.43279,2.8839,3.59419,3.0453,0.05941"
