plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction
609,52339,376,2.8647,9.2785,1.1200,0.2370
610,52056,277,1.7830,3.0876,1.2370,0.0660
610,52056,439,2.4909,4.7466,1.1940,0.2380
611,52055,476,1.7512,2.8089,1.1830,0.3160
612,52079,476,1.7170,8.0324,1.0980,0.1600
613,52345,161,0.8212,1.8883,1.2500,0.4230
613,52345,184,0.1515,0.9177,1.8390,-0.0310
614,53437,185,0.6019,0.7973,1.6730,0.2230
617,52072,201,0.5639,2.6320,1.2800,0.5290
617,52072,379,0.3662,2.8947,1.3220,0.3380
617,52072,625,0.3759,3.0676,1.3570,0.2650
618,52049,138,0.3465,2.4329,1.2560,0.1920
620,52375,331,0.2155,1.2360,1.4960,0.1050
621,52055,260,0.4316,1.1855,1.3420,0.5220
621,52055,624,2.8288,7.0885,1.1000,0.2690
623,52051,626,0.3993,1.5088,1.6210,0.2660
625,52145,159,0.8353,2.3930,1.1910,0.4960
625,52145,162,0.9881,2.3566,1.2860,0.4240
625,52145,233,0.1694,1.2187,1.4500,0.3940
625,52145,385,0.9183,2.4422,1.1900,0.5370
628,52083,88,0.3670,2.0166,1.3210,0.2670
629,52051,497,1.9952,6.9528,1.1240,0.3390
630,52050,163,0.7973,3.5062,1.2160,0.4080
630,52050,600,1.8858,3.8731,1.1700,0.3190
632,52071,93,0.6595,3.8063,1.2210,0.2310
632,52071,146,0.3866,0.9529,1.5150,0.0350
632,52071,598,1.3487,3.4645,1.1740,0.2800
633,52079,337,1.5333,2.8185,1.1960,0.1450
633,52079,630,1.1750,3.4012,1.1650,0.2690
634,52164,637,0.9959,1.2855,1.2660,0.1650
635,52145,459,0.3126,3.0560,1.2110,0.5690
637,52174,632,0.8690,2.0260,1.2700,0.3730
639,52146,335,0.6367,3.2808,1.2340,0.3790
644,52149,483,0.8911,1.8429,1.2510,0.3620
644,52149,528,1.3057,2.9809,1.1830,0.4330
646,52523,42,0.2412,0.0494,1.9760,-0.2890
648,52559,180,0.8388,2.3574,1.3260,0.3820
649,52201,488,0.4388,3.3417,1.3000,0.2130
651,52141,168,0.5652,2.9560,1.1840,0.4220
651,52141,394,0.7239,2.8094,1.2310,0.2730
652,52138,293,1.0995,1.3536,1.2880,0.3970
653,52145,534,0.6632,1.8829,1.2520,0.4910
654,52146,1,0.4823,0.2285,1.4180,0.6800
655,52162,413,0.5458,3.7096,1.2260,0.2120
655,52162,534,0.1948,0.3048,1.9060,-0.0250
656,52148,241,1.3858,3.4412,1.1860,0.2390
656,52148,524,1.0071,1.7682,1.3220,0.2580
656,52148,561,1.2117,1.8964,1.3100,0.5400
658,52146,17,2.8587,4.1561,1.0590,0.6910
658,52146,299,1.0403,2.4844,1.2310,0.4420
658,52146,312,2.1296,7.4313,1.1150,0.2840
664,52174,212,1.1330,4.3967,1.1940,0.2940
664,52174,239,1.0074,2.9110,1.1850,0.4020
664,52174,505,0.7549,1.9637,1.3150,0.6400
666,52149,417,2.6102,2.8566,1.2010,0.2120
667,52163,503,0.4359,2.3202,1.3370,0.4130
677,52606,180,0.4126,1.7546,1.2800,0.7310
679,52177,266,1.8153,4.1795,1.2000,0.2170
682,52525,172,3.8996,7.3876,1.0430,0.7960
687,52518,26,0.6179,1.9303,1.2700,0.3660
689,52262,388,1.3117,2.0120,1.3370,0.2440
690,52261,342,1.4154,2.8590,1.2300,0.1150
690,52261,496,0.4705,1.5449,1.5690,-0.0410
695,52202,139,0.9990,1.4579,1.3760,0.1440
702,52178,108,0.6526,1.8769,1.3630,0.5010
708,52175,155,3.7330,14.5976,1.0350,0.0330
708,52175,513,2.3578,7.2373,1.1050,0.2000
717,52468,543,0.6803,2.3219,1.3670,0.4000
718,52206,454,5.5154,2.6280,1.2910,0.4290
720,52206,411,1.2217,3.1111,1.1760,0.4210
724,52254,217,0.5418,0.8514,1.5020,0.1960
725,52258,142,0.4694,3.4026,1.2330,0.4750
726,52226,171,1.4331,3.3378,1.2450,0.1800
730,52466,563,1.2517,2.7386,1.2030,0.2390
737,52518,624,1.3918,2.5948,1.2090,0.4150
738,52521,226,1.5851,3.7791,1.1500,0.3310
740,52263,382,0.5489,2.7527,1.2540,0.6170
744,52251,620,0.7584,1.9574,1.4320,0.2460
746,52238,240,0.2528,0.2021,1.5720,0.0480
747,52234,241,0.2733,2.1017,1.2200,0.1110
747,52234,582,1.3597,2.9012,1.2120,0.3530
748,52233,247,2.3516,4.9815,1.1810,0.0080
748,52233,349,0.5058,1.2648,1.3950,0.2460
748,52233,614,1.2272,4.2119,1.3390,0.2270
755,52235,6,1.3251,2.6229,1.4880,0.2140
756,52577,372,0.8440,1.5777,1.4270,0.3900
758,52253,195,0.4917,1.1880,1.3130,0.1320
758,52253,439,0.3792,2.3239,1.2080,0.5170
761,52266,381,0.6270,1.0523,1.3400,0.4480
762,52232,114,0.5067,2.5244,1.2330,0.2670
763,52235,183,0.3664,1.9532,1.2970,0.3030
767,52252,97,0.9900,3.3289,1.1860,0.5620
767,52252,268,1.5238,2.5387,1.2930,0.3650
767,52252,299,1.2134,4.0622,1.2320,0.3280
767,52252,356,1.3986,0.7065,1.4360,0.2540
775,52295,613,1.7963,5.5001,1.1410,0.3310
776,52319,315,0.4906,2.1180,1.2440,0.3820
776,52319,604,1.1157,2.0379,1.2030,0.4600
783,52325,119,1.1222,2.0805,1.4320,0.1720
785,52339,361,2.5056,2.8391,1.1630,0.7810
785,52339,460,1.1890,2.6754,1.1660,0.7350
786,52319,218,0.3897,0.5539,1.5560,0.0920
788,52338,156,1.4634,2.8929,1.1910,0.1680
788,52338,177,0.6542,3.6906,1.4040,0.0150
788,52338,309,1.2431,0.0945,1.5920,0.0460
789,52342,1,1.3988,4.0759,1.1640,0.2230
791,52435,518,0.7827,2.4630,1.2070,0.3080
791,52435,562,0.6459,2.8556,1.2370,0.1020
792,52353,327,0.4737,2.5694,1.3190,0.0540
793,52370,490,0.5937,0.9654,1.3700,0.6860
802,52289,25,1.0417,1.5205,1.2520,0.6440
802,52289,327,2.0128,1.9219,1.2770,0.2710
802,52289,335,1.1399,2.3704,1.1910,0.5000
802,52289,387,1.4982,2.2610,1.2810,0.1980
802,52289,401,1.5363,4.8979,1.2580,-0.2020
802,52289,462,1.9769,4.5762,1.2150,0.4290
802,52289,468,1.0445,3.5270,1.1610,0.3070
802,52289,481,2.9830,3.6436,1.1250,0.5460
802,52289,501,0.6578,4.1690,1.1740,0.4380
802,52289,582,1.7811,2.3439,1.2430,0.4280
803,52264,38,1.7900,4.4077,1.2360,0.0600
803,52264,158,2.8878,4.5559,1.2300,-0.1920
803,52264,297,0.3006,2.3931,1.3160,0.3910
803,52264,361,3.0459,6.8357,1.2220,0.0410
803,52264,362,1.6612,5.1094,1.2420,0.1010
803,52264,414,0.7205,3.8062,1.2390,0.1720
803,52264,459,0.7961,4.8960,1.2320,0.0740
804,52266,19,0.9742,3.2928,1.2300,0.1890
804,52266,95,0.8828,5.0383,1.2080,0.0310
804,52266,117,0.9770,0.4224,1.4100,0.0980
804,52266,361,0.6094,3.9790,1.2700,0.2100
804,52266,554,3.5755,5.1958,1.2660,-0.1030
805,52586,41,1.6850,5.0191,1.1950,-0.1320
805,52586,446,0.6095,5.1851,1.1750,-0.0700
806,52592,277,3.0703,3.7618,1.2940,0.1680
806,52592,284,1.6657,2.6860,1.1800,0.0570
806,52592,608,1.1311,4.1918,1.2510,0.1480
811,52669,181,1.4428,5.9291,1.2030,0.2330
811,52669,254,1.6520,3.0343,1.2770,0.0670
811,52669,356,1.4069,5.1470,1.2100,0.1760
812,52352,263,1.2827,2.8412,1.1530,0.4490
815,52374,636,1.7551,4.2222,1.1290,0.3930
817,52381,348,0.4807,2.1140,1.2480,0.3830
818,52395,343,0.4854,0.7676,1.5380,0.4040
818,52395,599,0.3475,2.3644,1.2620,0.3230
820,52433,400,0.8101,2.8371,1.2330,0.1790
826,52295,395,0.8850,1.6822,1.5190,0.1920
831,52294,526,2.9303,11.1081,1.0590,0.3740
835,52326,445,0.6246,2.2621,1.1870,0.5700
840,52374,417,0.6899,1.2707,1.3460,0.5040
846,52407,349,1.2357,2.3874,1.2130,0.4850
847,52426,522,2.1800,7.2697,1.0690,0.4190
849,52439,591,0.9306,2.7580,1.1850,0.3190
850,52338,298,0.9781,2.9160,1.2750,0.2600
851,52376,124,0.6659,3.0188,1.1720,0.2590
859,52317,179,0.6692,1.8353,1.1950,0.4520
859,52317,269,0.7772,1.9745,1.2410,0.5020
861,52318,223,2.0379,2.7302,1.2150,0.2320
861,52318,367,0.5708,1.3751,1.4790,0.2500
870,52325,432,0.7860,0.8252,1.3750,0.5710
873,52674,53,0.7392,1.9250,1.4010,0.5980
873,52674,366,0.4309,3.6991,1.2120,0.1450
873,52674,473,0.7667,1.8469,1.4570,0.1900
874,52338,237,1.4221,2.1600,1.2250,0.4520
878,52353,304,4.4634,0.0484,1.3070,-0.6940
880,52367,235,0.3530,0.9733,1.6130,0.0900
880,52367,425,0.6442,1.0878,1.2760,0.5240
882,52370,222,0.4404,1.1676,1.4610,0.4850
883,52430,97,0.7252,2.1555,1.2790,0.2540
884,52374,400,0.3298,0.3640,1.7690,0.0650
884,52374,510,0.2533,2.7562,1.3350,0.5160
885,52379,489,0.2516,2.1849,1.5340,0.0960
886,52381,129,2.5746,3.7800,1.1140,0.5590
886,52381,468,0.4214,0.3090,1.6090,0.2850
886,52381,522,0.4349,0.6418,1.8590,0.0140
890,52583,372,0.8040,3.0975,1.1820,0.4730
893,52589,618,1.5927,3.1879,1.1450,0.1920
894,52615,435,0.7268,1.9268,1.4150,0.2660
898,52606,45,3.3246,12.3718,1.0570,0.4120
900,52637,616,0.7063,2.0944,1.2880,0.3000
904,52381,151,0.0733,1.8742,1.5650,0.1530
909,52379,130,0.5309,3.7953,1.1970,0.0990
909,52379,550,0.3037,3.3163,1.2310,0.3620
910,52377,162,0.3228,2.3939,1.1930,0.4220
911,52426,562,10.6934,2.7167,1.4230,0.2960
916,52378,23,1.7397,2.4953,1.2080,0.2740
917,52400,80,0.5436,2.5758,1.2870,0.2550
918,52404,462,1.4250,2.3618,1.1840,0.5010
919,52409,484,0.8024,2.7495,1.2300,0.3480
922,52426,98,0.9472,3.1080,1.2170,0.4380
927,52577,485,1.0156,1.3051,1.2220,0.5500
930,52618,598,0.9516,2.8923,1.1970,0.3560
931,52619,530,0.4515,2.3470,1.3130,0.3810
933,52642,360,0.6097,2.7358,1.2140,0.3730
933,52642,531,0.9425,3.0507,1.2160,0.4390
934,52672,426,1.3330,3.8310,1.2980,0.1730
936,52705,88,1.2161,3.5283,1.2070,0.3660
936,52705,477,4.3335,8.4494,1.0640,0.6790
937,52707,379,0.5957,2.2606,1.2330,0.3290
941,52709,19,0.5809,2.4515,1.3920,0.2160
941,52709,74,1.1665,3.2480,1.1730,0.1520
942,52703,220,2.6886,2.9090,1.1250,0.3470
944,52614,222,0.7603,1.9246,1.2590,0.3330
946,52407,22,1.0317,0.9593,1.5490,0.0660
952,52409,189,0.6715,3.1841,1.3570,0.4070
952,52409,229,0.9702,1.9934,1.2370,0.4180
952,52409,447,3.4970,6.8807,1.1070,0.3270
953,52411,409,1.1865,2.6892,1.2190,0.2040
954,52405,221,0.6765,2.3810,1.1950,0.3280
954,52405,384,0.6374,1.6373,1.4730,0.2170
954,52405,536,0.5369,0.5992,1.6510,0.1380
954,52405,559,0.4173,1.9028,1.3140,0.7560
957,52398,146,0.4725,1.6233,1.3540,0.3700
957,52398,622,0.9201,2.4587,1.3290,0.5080
957,52398,624,1.4501,2.2579,1.3230,0.1280
958,52410,240,0.6929,1.0305,1.4240,0.6700
959,52411,232,0.7954,3.0021,1.2360,0.5000
960,52425,237,0.7243,3.2380,1.2740,0.3640
961,52615,369,0.6330,1.8819,1.2920,0.4650
961,52615,456,0.8780,2.9505,1.1820,0.4380
961,52615,537,1.1820,3.3034,1.1910,0.3950
962,52620,282,0.6835,2.9811,1.2350,0.5510
963,52643,15,1.2566,2.0760,1.2360,0.1720
964,52646,54,0.8441,2.0782,1.4120,0.2080
966,52642,14,0.9346,1.7650,1.2600,0.7000
966,52642,256,0.1131,2.2768,1.4860,0.1200
966,52642,630,0.6648,2.0409,1.2520,0.5970
969,52442,141,0.6737,1.2549,1.4870,0.1210
971,52644,266,1.0570,1.0996,1.3070,0.1620
971,52644,585,0.3471,1.7905,1.3000,0.1480
974,52427,374,0.2890,0.7892,1.6130,0.2440
974,52427,468,1.1990,2.6556,1.1560,0.4770
974,52427,528,1.2619,2.2569,1.2510,0.1870
977,52410,207,0.3675,1.0982,1.2900,0.1630
982,52466,105,1.5296,4.7294,1.2570,0.1840
983,52443,203,0.5921,1.3988,1.5340,0.0340
985,52431,356,0.7617,0.4672,1.4970,0.2870
985,52431,422,0.6449,3.6671,1.3830,0.0090
988,52520,236,1.5351,2.1394,1.2360,0.1820
988,52520,582,0.3406,1.2834,1.2770,0.7020
991,52707,435,1.0773,3.0562,1.2710,0.3330
995,52731,58,0.9128,2.3397,1.2280,0.4590
996,52641,168,0.6941,2.7466,1.1910,0.1720
997,52734,171,0.7321,1.5144,1.3480,0.5240
997,52734,532,0.4612,2.8820,1.2080,0.4050
999,52636,481,0.6019,4.1273,1.2040,0.1730
1000,52643,419,0.2576,2.5897,1.2360,0.5410
1001,52670,19,0.5743,0.5118,1.6210,0.0270
1005,52703,206,2.6009,5.1905,1.1180,0.2290
1007,52706,79,0.3433,3.0431,1.2790,0.4920
1007,52706,478,1.3132,4.0551,1.1520,0.3840
1008,52707,21,1.3823,4.0719,1.1420,0.3950
1008,52707,378,0.4709,2.1716,1.4410,0.2750
1009,52644,433,0.2673,0.9482,1.5640,0.2980
1011,52652,340,1.0526,3.5499,1.2060,0.1470
1011,52652,432,1.4553,2.8277,1.1680,0.4310
1012,52649,20,2.0384,2.7044,1.1770,0.2930
1012,52649,38,0.4423,3.5593,1.2530,0.3310
1013,52707,214,1.1281,2.9972,1.2530,0.3180
1014,52707,269,7.5872,0.9801,1.7900,-0.0910
1016,52759,563,0.6111,2.9711,1.2360,0.2720
1017,52706,14,1.0438,2.0145,1.2140,0.2910
1017,52706,411,0.4689,0.4619,1.6110,0.1330
1020,52721,300,0.3128,3.5969,1.2470,0.2080
1021,52460,26,1.1372,3.5588,1.2050,0.1840
1021,52460,121,1.2023,2.0575,1.2400,0.5260
1021,52460,174,1.3535,3.3364,1.2430,0.1840
1021,52460,611,0.8902,1.0768,1.3010,0.5840
1022,52524,335,1.2270,3.0920,1.2130,0.1430
1022,52524,501,1.1572,4.3636,1.1640,0.1010
1023,52818,95,1.3899,3.6068,1.2110,0.2990
1023,52818,116,1.9501,5.1067,1.1880,-0.0600
1023,52818,117,0.6032,2.7410,1.2490,0.0220
1023,52818,201,2.9295,3.7957,1.2800,0.5020
1023,52818,331,1.4264,3.4176,1.2600,-0.8180
1023,52818,540,0.8920,1.8008,1.3090,0.2320
1024,52826,118,1.1147,2.1526,1.2430,0.1590
1024,52826,312,2.5920,1.2693,1.3760,0.0030
1024,52826,528,0.8362,3.5225,1.2070,0.3030
1025,53239,81,0.3690,6.2473,1.2830,0.0570
1025,53239,91,1.6828,4.2532,1.3000,0.0260
