Objid,plate,mjd,fiberid,ra,dec,fiberMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,fuv_mag,nuv_mag,dered_u,dered_g,dered_r,dered_i,dered_z,petroR90_r,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,fuv_magerr,nuv_magerr,e_bv,s2n_r,sn_fuv_auto,survey,morph_type
587742863132000333,2483,53852,87,163.6577,15.4348,17.68735,19.31375,18.02653,17.34953,16.97913,16.73948,20.8382,20.45964,19.17223,17.9224,17.27401,16.92186,16.69888,3.063187,0.04370355,0.008672476,0.007202222,0.006685483,0.01636584,0.289986,0.1676266,0.0274601,23.645,3.745008,AIS,3
588017704021524710,1711,53535,498,220.2635,10.59053,17.82675,19.14681,17.80635,17.25689,16.92411,16.68671,20.50173,20.0094,18.99619,17.69553,17.17651,16.86316,16.6435,3.388605,0.04336715,0.007760608,0.008586696,0.009357021,0.01742201,0.2714437,0.07920633,0.02909979,21.3393,4.00083,AIS,3
587742592548601983,2744,54272,209,210.3982,14.94385,17.75017,19.62609,18.26153,17.62197,17.22136,16.9674,21.29153,20.68196,19.54061,18.19863,17.57635,17.18677,16.94287,2.917323,0.0440409,0.008360561,0.006649376,0.007235966,0.01598413,0.3793462,0.1551825,0.01700944,24.4656,2.86282,AIS,3
587742061063241912,2478,54097,191,161.2251,20.41937,17.56896,19.44477,18.07303,17.39472,17.01649,16.77239,20.94386,20.54851,19.31575,17.9781,17.32587,16.96429,16.73537,2.804965,0.03644777,0.007014439,0.005402384,0.005453139,0.0136252,0.2968909,0.128992,0.02492353,23.1021,3.657909,AIS,3
587732052703772834,1197,52668,42,127.6836,34.00678,18.16627,19.30466,18.17926,17.6931,17.3631,17.18731,21.26826,20.37442,19.12172,18.04466,17.59548,17.28908,17.13482,3.25019,0.03239333,0.007813947,0.006608908,0.007352801,0.01907045,0.2595472,0.1334722,0.03559263,18.2538,4.18421,AIS,3
587733442124841353,1336,52759,52,244.3925,39.26097,17.93634,19.31335,18.22249,17.67353,17.30514,17.10953,20.57311,20.19957,19.26666,18.18814,17.64862,17.28625,17.09614,3.241188,0.03092454,0.006789577,0.006024084,0.006670699,0.01511139,0.201977,0.06855534,0.009369581,16.3872,5.376851,AIS,3
588017725474799825,1627,53473,352,186.3581,7.545662,18.31412,19.18358,18.07647,17.66397,17.37855,17.25307,20.22682,19.66401,19.05991,17.98547,17.59797,17.32851,17.21758,3.31038,0.04467399,0.009191955,0.007438779,0.00777906,0.02505966,0.2289704,0.08455943,0.02388502,16.3788,4.742971,AIS,3
587744727686512854,2436,54054,350,136.4133,14.80404,17.90453,19.86978,18.51538,17.83637,17.43874,17.19923,21.66248,20.93533,19.62497,18.33525,17.70572,17.33967,17.129,2.728481,0.05647977,0.008932875,0.008037751,0.006625349,0.01640889,0.3123095,0.1834376,0.04740892,19.7396,3.47732,AIS,3
587739505010606173,1994,53845,611,195.1812,31.47342,18.8602,19.60421,18.78529,18.72696,18.36889,18.29837,20.0824,20.25224,19.52563,18.72747,18.68502,18.33709,18.27583,2.255733,0.0440809,0.009961063,0.01151391,0.01044201,0.02875848,0.1463164,0.1070943,0.01509575,13.1931,7.422269,AIS,3
587741533849321648,2296,53735,511,145.7066,24.85894,18.00183,19.88202,18.31757,17.56486,17.22763,16.99176,21.68212,21.55411,19.76713,18.23304,17.50355,17.18114,16.9588,3.234558,0.0548507,0.008967704,0.006950206,0.007522853,0.01594969,0.310854,0.2815412,0.0223654,17.7502,3.493602,AIS,3
