plate,mjd,fiberid
1506,53003,114
1506,53003,513
1508,52944,353
1508,52944,561
1508,52944,583
1511,52946,90
1538,52937,112
1538,52937,524
1539,52943,156
1539,52943,421
1539,52943,515
1541,53732,27
1541,53732,118
1541,53732,166
1541,53732,201
1541,53732,263
1541,53732,314
1541,53732,397
1541,53732,426
1541,53732,486
1541,53732,509
1541,53732,585
1542,53734,72
1542,53734,75
1542,53734,114
1542,53734,260
1542,53734,268
1542,53734,523
1543,53738,25
1543,53738,26
1543,53738,84
1543,53738,132
1543,53738,219
1543,53738,257
1543,53738,305
1543,53738,485
1543,53738,538
1543,53738,572
1543,53738,610
1551,53327,80
1551,53327,105
1551,53327,243
1551,53327,285
1555,53287,297
1557,53301,285
1557,53301,303
1558,53271,170
1558,53271,329
1558,53271,586
1559,53271,52
1559,53271,173
1559,53271,195
1559,53271,262
1559,53271,281
1559,53271,303
1561,53032,51
1564,52991,626
1566,53003,302
1569,53168,354
1571,53174,462
1572,53177,390
1572,53177,573
1573,53226,396
1573,53226,475
1573,53226,591
1574,53476,213
1576,53496,505
1580,53145,465
1582,52939,14
1584,52943,223
1587,52964,60
1587,52964,232
1590,52974,613
1593,52991,223
1593,52991,224
1593,52991,410
1594,52992,526
1595,52999,203
1595,52999,476
1597,52999,264
1598,53033,378
1598,53033,414
1599,53089,395
1599,53089,442
1600,53090,28
1600,53090,558
1601,53115,289
1601,53115,388
1601,53115,514
1607,53083,25
1609,53142,196
1611,53147,74
1613,53115,343
1615,53166,508
1616,53169,205
1616,53169,245
1618,53116,490
1618,53116,557
1620,53137,505
1622,53385,609
1623,53089,344
1623,53089,352
1624,53386,513
1626,53472,351
1626,53472,539
1627,53473,299
1627,53473,352
1627,53473,426
1627,53473,453
1627,53473,533
1642,53115,226
1644,53144,168
1644,53144,271
1644,53144,306
1648,53171,232
1648,53171,558
1651,53442,255
1652,53555,605
1653,53534,535
1653,53534,563
1653,53534,601
1656,53533,581
1659,53224,572
1667,53430,622
1668,53433,394
1668,53433,573
1669,53433,381
1671,53446,42
1671,53446,605
1672,53460,536
1673,53462,273
1674,53464,572
1679,53149,324
1680,53171,219
1680,53171,244
1681,53172,596
1683,53436,192
1683,53436,239
1683,53436,256
1683,53436,429
1684,53239,88
1684,53239,457
1685,53463,208
1686,53472,502
1687,53260,419
1689,53177,421
1691,53260,42
1691,53260,152
1692,53473,363
1696,53116,396
1698,53146,434
1701,53142,390
1706,53442,24
1708,53503,135
1708,53503,180
1708,53503,200
1708,53503,466
1709,53533,166
1710,53504,6
1710,53504,364
1710,53504,632
1711,53535,480
1711,53535,498
1711,53535,558
1712,53531,106
1713,53827,389
1714,53521,124
1715,54212,72
1715,54212,241
1719,53876,602
1727,53859,385
1731,53884,117
1731,53884,175
1733,53047,23
1735,53035,369
1736,53052,33
1736,53052,353
1737,53055,91
1737,53055,332
1740,53050,630
1745,53061,410
1746,53062,387
1746,53062,487
1749,53357,101
1749,53357,174
1750,53358,64
1750,53358,251
1750,53358,606
1750,53358,626
1751,53377,440
1751,53377,520
1751,53377,579
1755,53386,578
1758,53084,189
1758,53084,504
1763,53463,3
1763,53463,601
1764,53467,590
1764,53467,602
1765,53466,268
1765,53466,428
1767,53436,297
1767,53436,510
1768,53442,225
1769,53502,347
1771,53498,350
1773,53112,348
1775,53847,79
1775,53847,147
1776,53858,183
1776,53858,415
1777,53857,380
1777,53857,521
1784,54425,468
1787,54465,322
1787,54465,463
1788,54468,221
1788,54468,255
1792,54270,119
1793,53883,49
1793,53883,202
1793,53883,410
1795,54507,568
1797,54507,284
1800,53884,89
1802,53885,138
1802,53885,277
1806,53559,28
1807,54175,306
1808,54176,179
1808,54176,398
1809,53792,158
1809,53792,249
1809,53792,611
1810,53794,63
1810,53794,147
1810,53794,494
1810,53794,583
1811,53533,227
1811,53533,243
1812,53795,639
1813,53903,202
1814,54555,166
1815,53884,266
1820,54208,495
1820,54208,549
1821,53167,268
1821,53167,293
1822,53172,35
1823,53886,616
1825,53504,101
1827,53531,114
1827,53531,330
1827,53531,551
1827,53531,620
1828,53504,7
1828,53504,208
1828,53504,500
1829,53494,125
1831,54557,635
1832,54259,431
1833,54561,335
1837,53494,165
1837,53494,425
1839,53471,276
1839,53471,405
1840,53472,511
1842,53501,237
1842,53501,242
1842,53501,581
1844,54138,286
1846,54173,452
1851,53524,462
1866,53314,217
1872,53386,239
1874,54452,522
1921,53317,42
1921,53317,221
1921,53317,281
1922,53315,530
1927,53321,594
1931,53358,278
1932,53350,37
1936,53330,351
1938,53379,133
1941,53386,7
1942,53415,599
1943,53386,90
1943,53386,285
1943,53386,391
1947,53431,328
1950,53436,112
1951,53389,444
1952,53378,556
1953,53358,380
1955,53442,259
1957,53415,54
1957,53415,209
1971,53472,210
1972,53466,568
1973,53432,350
1973,53432,629
1974,53430,200
1974,53430,312
1974,53430,425
1975,53734,565
1979,53431,494
1982,53436,34
1982,53436,38
1982,53436,623
1983,53442,263
1985,53431,394
1987,53765,207
1990,53472,220
1990,53472,229
1990,53472,335
1991,53446,174
1994,53845,374
1994,53845,499
1994,53845,611
1995,53415,152
1999,53503,130
1999,53503,545
2000,53495,419
2002,53471,195
2003,53442,28
2004,53737,17
2004,53737,43
2004,53737,194
2006,53476,2
2006,53476,144
2008,53473,505
2010,53495,525
2011,53499,167
2012,53493,521
2017,53474,39
2017,53474,488
2021,53475,639
2022,53827,520
2023,53851,63
2024,53503,582
2025,53431,180
2025,53431,470
2026,53711,108
2027,53433,572
2028,53818,297
2028,53818,471
2029,53819,487
2030,53499,187
2030,53499,450
2031,53848,291
2032,53815,40
2035,53436,2
2035,53436,276
2036,53446,285
2036,53446,306
2037,53446,168
2080,53350,271
2083,53359,11
2085,53379,586
2087,53415,90
2088,53493,22
2089,53498,158
2089,53498,445
2089,53498,593
2092,53460,424
2095,53474,344
2097,53491,255
2097,53491,271
2097,53491,448
2097,53491,606
2098,53460,220
2099,53469,425
2102,54115,371
2103,53467,242
2104,53852,384
2106,53714,174
2106,53714,390
2107,53786,566
2108,53473,476
2109,53468,522
2109,53468,562
2110,53467,409
2110,53467,466
2111,53467,602
2112,53534,293
2115,53535,91
2115,53535,206
2115,53535,385
2116,53854,336
2117,54115,70
2118,53820,387
2118,53820,618
2119,53792,135
2119,53792,427
2121,54180,600
2122,54178,38
2122,54178,509
2122,54178,562
2123,53793,56
2123,53793,63
2123,53793,198
2123,53793,242
2123,53793,509
2126,53794,223
2127,53859,63
2127,53859,177
2127,53859,311
2128,53800,332
2128,53800,400
2129,54243,273
2130,53881,205
2130,53881,555
2132,53493,445
2133,53917,543
2133,53917,554
2134,53876,400
2134,53876,511
2137,54206,53
2138,53757,11
2138,53757,542
2138,53757,608
2140,53858,105
2141,53764,208
2142,54208,108
2142,54208,187
2142,54208,260
2143,54184,404
2144,53770,550
2148,54526,339
2148,54526,377
2149,54509,408
2151,54523,479
2154,54539,338
2154,54539,485
2155,53820,479
2155,53820,552
2156,54525,26
2156,54525,387
2157,54242,283
2157,54242,334
2157,54242,537
2158,54209,325
2159,54328,94
2159,54328,222
2160,53885,495
2161,53878,190
2169,53556,364
2170,53875,133
2171,53557,324
2172,54230,467
2172,54230,575
2196,53534,640
2197,53555,294
2202,53566,522
2202,53566,575
2203,53915,474
2204,53877,197
2204,53877,438
2205,53793,164
2208,53880,393
2208,53880,497
2212,53789,461
2213,53792,25
2213,53792,418
2214,53794,441
2215,53793,19
2215,53793,174
2216,53795,167
2216,53795,446
2219,53816,478
2219,53816,585
2220,53795,109
2224,53815,239
2225,53729,599
2227,53820,389
2228,53818,60
2228,53818,315
2229,53823,31
2229,53823,502
2230,53799,200
2230,53799,539
2231,53816,326
2232,53827,455
2235,53847,3
2235,53847,114
2237,53828,259
2238,54205,106
2239,53726,81
2241,54169,324
2241,54169,451
2243,53794,259
2243,53794,482
2245,54208,151
2246,53767,444
2246,53767,545
2264,53682,518
2266,53679,315
2272,53713,53
2272,53713,637
2274,53726,110
2274,53726,406
2276,53712,216
2278,53711,601
2280,53680,89
2286,53700,640
2290,53727,415
2290,53727,447
2294,53733,266
2294,53733,518
2296,53735,472
2296,53735,511
2297,53738,358
2297,53738,610
2297,53738,628
2298,53737,114
2298,53737,582
2341,53738,418
2341,53738,450
2344,53740,18
2344,53740,328
2345,53757,634
2346,53734,367
2346,53734,450
2347,53757,501
2349,53734,210
2349,53734,324
2349,53734,411
2350,53765,145
2352,53770,566
2353,53794,428
2354,53799,506
2355,53792,18
2355,53792,109
2358,53797,361
2360,53728,35
2362,53759,125
2362,53759,153
2363,53763,38
2363,53763,567
2366,53741,394
2367,53763,71
2367,53763,475
2419,54139,458
2419,54139,528
2422,54096,521
2423,54149,189
2423,54149,450
2424,54448,411
2425,54139,162
2429,53799,48
2429,53799,468
2430,53815,51
2430,53815,257
2431,53818,146
2431,53818,572
2433,53820,634
2434,53826,241
2434,53826,635
2435,53828,420
2435,53828,474
2436,54054,350
2437,53848,385
2439,53795,306
2440,53818,527
2440,53818,602
2477,54058,106
2477,54058,329
2478,54097,191
2479,54174,187
2481,54086,143
2481,54086,154
2481,54086,264
2481,54086,383
2481,54086,490
2482,54175,434
2483,53852,87
2483,53852,325
2483,53852,572
2484,54144,402
2485,54176,23
2485,54176,405
2485,54176,458
2485,54176,461
2485,54176,478
2487,53852,107
2488,54149,66
2494,54174,19
2494,54174,176
2495,54175,566
2495,54175,609
2496,54178,73
2496,54178,194
2498,54169,123
2499,54176,95
2499,54176,503
2501,54084,121
2504,54179,502
2508,53875,23
2508,53875,331
2510,53877,254
2511,53882,156
2511,53882,202
2511,53882,409
2513,54141,332
2514,53882,510
2516,54240,91
2517,54567,382
2519,54570,232
2520,54584,322
2521,54538,638
2523,54572,241
2523,54572,560
2525,54569,463
2528,54571,219
2530,53881,72
2532,54589,224
2570,54081,116
2571,54055,102
2572,54056,156
2575,54085,323
2581,54085,23
2583,54095,99
2583,54095,563
2583,54095,576
2584,54153,458
2584,54153,545
2587,54138,128
2587,54138,630
2588,54174,340
2588,54174,457
2591,54140,593
2592,54178,350
2593,54175,572
2595,54207,408
2595,54207,410
2596,54207,527
2599,54234,77
2600,54243,429
2601,54144,311
2601,54144,397
2602,54149,298
2602,54149,621
2603,54479,243
2604,54484,471
2604,54484,493
2605,54484,94
2605,54484,146
2606,54154,302
2606,54154,591
2608,54474,105
2610,54476,590
2611,54477,54
2611,54477,171
2611,54477,273
2611,54477,399
2613,54481,43
2613,54481,109
2614,54481,296
2615,54483,13
2616,54499,414
2616,54499,566
2617,54502,393
2617,54502,496
2618,54506,623
2642,54232,121
2642,54232,170
2642,54232,253
2642,54232,582
2643,54208,439
2644,54210,119
2645,54477,163
2645,54477,343
2646,54479,547
2646,54479,567
2647,54495,315
2649,54212,173
2649,54212,604
2650,54505,113
2651,54507,59
2651,54507,160
2651,54507,348
2651,54507,480
