#lambda       q_CCM       q_CAL       q_HZ1       q_HZ2       q_HZ3       q_HZ4       q_HZ5       q_GD1       q_GD2       q_GD3
 1168.0     3.76468     0.00000     3.53429     3.38309     4.07836     6.70749     3.08241     0.00000     0.00000     0.00000
 1169.0     3.75886     0.00000     3.53143     3.37859     4.07090     6.70067     3.07960     0.00000     0.00000     0.00000
 1170.0     3.75307     0.00000     3.52857     3.37410     4.06344     6.69385     3.07679     0.00000     0.00000     0.00000
 1171.0     3.74729     0.00000     3.52571     3.36960     4.05597     6.68703     3.07398     0.00000     0.00000     0.00000
 1172.0     3.74153     0.00000     3.52286     3.36511     4.04851     6.68021     3.07117     0.00000     0.00000     0.00000
 1173.0     3.73579     0.00000     3.52000     3.36061     4.04105     6.67340     3.06836     0.00000     0.00000     0.00000
 1174.0     3.73006     0.00000     3.51714     3.35612     4.03359     6.66658     3.06554     0.00000     0.00000     0.00000
 1175.0     3.72436     0.00000     3.51429     3.35163     4.02613     6.65976     3.06273     0.00000     0.00000     0.00000
 1176.0     3.71867     0.00000     3.51143     3.34713     4.01867     6.65294     3.05992     0.00000     0.00000     0.00000
 1177.0     3.71300     0.00000     3.50857     3.34264     4.01120     6.64612     3.05711     0.00000     0.00000     0.00000
 1178.0     3.70735     0.00000     3.50571     3.33814     4.00374     6.63930     3.05430     0.00000     0.00000     0.00000
 1179.0     3.70172     0.00000     3.50286     3.33365     3.99628     6.63249     3.05149     0.00000     0.00000     0.00000
 1180.0     3.69610     0.00000     3.50000     3.32915     3.98882     6.62567     3.04867     0.00000     0.00000     0.00000
 1181.0     3.69050     0.00000     3.49714     3.32466     3.98136     6.61885     3.04586     0.00000     0.00000     0.00000
 1182.0     3.68492     0.00000     3.49429     3.32016     3.97390     6.61203     3.04305     0.00000     0.00000     0.00000
 1183.0     3.67935     0.00000     3.49143     3.31567     3.96643     6.60521     3.04024     0.00000     0.00000     0.00000
 1184.0     3.67380     0.00000     3.48857     3.31118     3.95897     6.59840     3.03743     0.00000     0.00000     0.00000
 1185.0     3.66827     0.00000     3.48571     3.30668     3.95151     6.59158     3.03461     0.00000     0.00000     0.00000
 1186.0     3.66275     0.00000     3.48286     3.30219     3.94405     6.58476     3.03180     0.00000     0.00000     0.00000
 1187.0     3.65725     0.00000     3.48000     3.29769     3.93659     6.57794     3.02899     0.00000     0.00000     0.00000
 1188.0     3.65177     0.00000     3.47714     3.29320     3.92913     6.57112     3.02618     0.00000     0.00000     0.00000
 1189.0     3.64630     0.00000     3.47429     3.28870     3.92166     6.56430     3.02337     0.00000     0.00000     0.00000
 1190.0     3.64084     0.00000     3.47143     3.28421     3.91420     6.55749     3.02056     0.00000     0.00000     0.00000
 1191.0     3.63541     0.00000     3.46857     3.27971     3.90674     6.55067     3.01774     0.00000     0.00000     0.00000
 1192.0     3.62998     0.00000     3.46571     3.27522     3.89928     6.54385     3.01493     0.00000     0.00000     0.00000
 1193.0     3.62457     0.00000     3.46286     3.27073     3.89182     6.53703     3.01212     0.00000     0.00000     0.00000
